Test ID,Prompt Used,Output Summary,Accuracy (1-5),Helpfulness (1-5),Format (1-5),Completeness (1-5),Grounding (1-5),Failure Mode Observed,Revision Needed
T1,P1,"Extracted Maya and Jordan but did not structure output as a table. Mentioned Friday but framed it as a hard deadline. Did not flag dashboard-launch block.",3,3,1,3,3,Format drift; invented deadline framing,Yes
T1,P2,"Correct table. Owners correct. Friday noted as 'Not specified (update by Friday)'. Dashboard block captured as High risk.",5,5,5,5,5,None,No
T1,P3,"Table matches example format. Maya and Jordan correct. Friday update row included. Dashboard block flagged.",5,5,5,5,5,None,No
T1,P4,"Very conservative. Wrote 'Not stated in input' for due date even though Friday was explicitly mentioned. All other fields correct.",3,4,5,4,5,Overcorrection on known due date,Yes — relax constraint for explicit dates
T1,P5,"Best output. Correct table. Friday update row. Dashboard-block urgent item surfaced at end.",5,5,5,5,5,None,No
T2,P1,"Summarized vendor delay well but stated that manual approval 'was approved by the director.' Open question converted to a decision.",3,3,2,3,2,Hallucination — invented decision,Yes
T2,P2,"Correct table. Manual approval flagged as open question. Insurance docs listed for four vendors. No invented resolution.",5,5,5,5,5,None,No
T2,P3,"Followed example format. Open question row included. Insurance doc gap captured.",5,5,5,5,5,None,No
T2,P4,"Flagged every item as unclear. Manual approval row present but unhelpfully vague. Too cautious on items that were clear.",2,3,4,3,5,Overcaution reduced helpfulness,Yes
T2,P5,"Correct decision/open-question split. Insurance docs noted. Urgent item: procurement gap flagged.",5,5,5,5,5,None,No
T3,P1,"Identified three-spreadsheet problem. Recommended a full platform migration with SSO and API integration — not mentioned in input.",2,2,1,3,1,Hallucination; format drift; overengineering,Yes
T3,P2,"Table format correct. Problem framed as tracking fragmentation. Analyst recommendation captured. No extra steps added.",5,5,5,5,5,None,No
T3,P3,"Matched example. Fragmentation row clear. Recommendation row present. One-line problem statement added.",5,5,5,5,5,None,No
T3,P4,"Correct and grounded. Slightly over-flagged uncertainty on the recommendation row. Otherwise accurate.",4,4,5,4,5,Minor overcaution,No
T3,P5,"Full table with problem-statement row and analyst recommendation. Urgent item: fragmented tracking creates reporting delay.",5,5,5,5,5,None,No
T4,P1,"Mentioned 58% attendance and login questions. Did not classify as risks. No mitigation proposed. Prose format.",2,2,1,2,3,Format drift; missing risk classification,Yes
T4,P2,"Table correct. Attendance and login questions as two separate rows. Risk Medium for both. Mitigation: recordings and job aids.",5,5,5,5,5,None,No
T4,P3,"Table follows example. Two risk rows. Recordings and job aids as mitigations. No invented attendance target.",5,5,5,5,5,None,No
T4,P4,"Correct risks identified. Conservative on mitigation — wrote 'Not stated' for job aid even though it is a standard mitigation. Grounded but less helpful.",3,3,5,3,5,Overcaution on implied mitigation,Yes
T4,P5,"Best output. Two risk rows. Recordings and help desk FAQ as next steps. Urgent item: low training completion before go-live.",5,5,5,5,5,None,No
T5,P1,"Summarized speed benefit only. Did not mention handwritten notes limitation or exception handling. Finance concern missing.",2,2,1,2,2,Incomplete; format drift; missing limitation,Yes
